"","contair","Intrsc","ppub","islcal","cobarb","pop10","morta","pbranc","pparda","noenrg","noagpt","norrss","nosane","hphog","dnspop","ppoprl","ppopmd","alfa"
"PONTE RASA",18.09999975,1071.271319,0.57010793,2.9700004,0.007453747,93894,0.308858926,0.624715104,0.279687733,0.002755782,0.001465099,0.003523215,0.000139533,3.27,13066.50419,0.175005233,0.512001954,96.14
"RAPOSO TAVARES",16.65,412.575126,16.12540575,2.359092133,10.39461883,100164,0.109819895,0.516453017,0.377301226,0.028829734,0.001038004,0.000100452,0.000267872,3.32,7451.347803,0.195980573,0.481594373,94.55
"REPUBLICA",16.44999981,1208.846235,5.208273785,5.1255553,0.517124577,56981,0.140397676,0.65558695,0.239378038,0.000797145,0.00053143,3.8e-05,7.59e-05,2.14,22436.8949,0.08685749,0.591678688,97.28
"RIO PEQUENO",17.48749995,730.410973,5.020019637,3.0866691,2.138564734,118459,0.12662609,0.633544095,0.256181464,0.009166935,0.001661842,0.004288624,0.000241235,3.17,11387.70116,0.153357826,0.4634232,95.82
"SACOMA",17.125,767.8183495,2.858221239,3.2027302,0.379238424,247851,0.084728325,0.657455487,0.264303957,0.002705321,0.001509947,0.000352321,0.000327155,3.12,15449.30555,0.155655548,0.534625934,95.66
"SANTA CECILIA",16.23333359,702.5552043,1.930962401,3.628333233,0.016717683,83717,0.059725026,0.7711337,0.156157053,0.001557676,0.00063976,0.000166894,0.00044505,2.29,20622.65569,0.073664876,0.520719116,98.21
"SANTANA",17.72307704,604.7632851,4.658844331,3.4773348,2.630414563,118797,0.185189862,0.820811973,0.112039866,0.000561318,0.000585723,0.000244051,0.000268456,2.82,8248.457403,0.073591592,0.540535256,98.36
"SANTO AMARO",17.12666651,584.0334461,1.812542666,2.498203367,2.653278689,71560,0.097820011,0.857462269,0.08598379,0.00090644,0.001458186,0.000472925,7.88e-05,2.79,4090.978211,0.079209093,0.43274923,98.29
"SAO LUCAS",17.52000027,971.9914393,1.030285387,2.504168667,0.099306119,142347,0.119426472,0.734606279,0.200531097,0.002971379,0.000436967,8.74e-05,0.000458816,3.11,13401.78859,0.133192019,0.590196893,96.53
"SAO MATEUS",17.22500038,761.3943917,1.424735449,1.505759633,0.673429952,155140,0.161144772,0.60868248,0.311177001,0.003619464,0.001070847,0.00077101,0.000385505,3.32,11202.83819,0.231869779,0.463418291,94.87
"SAO MIGUEL",17.44285692,940.9380123,3.330538841,1.8414255,1.700837453,92081,0.152040052,0.546355926,0.371748786,0.005777236,0.004628965,0.000466485,0.000645902,3.3,9728.555256,0.240327328,0.437262221,94.59
"SAO RAFAEL",17.47500006,602.9349771,1.336975712,1.477333767,9.733785221,143992,0.215289738,0.513834102,0.411765931,0.020202518,0.074158023,0.015004065,0.000985489,3.55,10008.97086,0.3182031,0.346689337,92.31
"SAPOPEMBA",17.08461541,906.3162671,1.8215153,2.043890267,0.4127534,284524,0.112468544,0.575902209,0.353196918,0.011961835,0.005160239,0.002078266,0.000484141,3.36,19084.42344,0.234904401,0.432372427,93.66
"SAUDE",18.17777782,889.443359,1.784812391,3.9208315,0.045279111,130780,0.022939287,0.755000765,0.08359841,0.000832014,0.001481391,0.00020293,0,2.65,12856.03476,0.072388895,0.452883149,98.39
"SE",17.25,1084.805299,5.815270982,4.423339067,0.032412965,23651,0.126844531,0.538539597,0.32615957,0.0007694,0.000989228,0,0.000219829,2.59,9906.073408,0.102330182,0.659815344,95.74
"SOCORRO",18.15454552,458.5961786,0.850171936,0.3240033,2.880875677,37783,0.02646693,0.734219093,0.182754149,0.000724113,0.003861936,0,0,3.03,2893.643857,0.103810775,0.583618046,97.16
"TATUAPE",17.73749995,748.4793055,3.263122381,3.257618433,0.458384837,91672,0.076359194,0.856924688,0.090758356,0.000916478,0.000580436,0.001832957,9.16e-05,2.78,9875.445437,0.066815417,0.547696916,98.36
"TREMEMBE",16.11111095,168.491117,48.55384427,1.362933533,60.25257311,197258,0.076042543,0.589983676,0.330278113,0.012392805,0.018667643,0.00657115,0.000313742,3.43,3122.531075,0.216262432,0.448595359,94.64
"TUCURUVI",19.82499981,805.5643652,11.60472282,2.991900367,7.950967742,98438,0.1422215,0.779018265,0.14452752,0.001014136,0.000860479,0.00043024,0.000122926,3.01,9489.964694,0.088002951,0.6215535,97.68
"VILA ANDRADE",15.99999989,370.1465485,9.665754245,3.414905867,10.85587789,127015,0.09447703,0.567389678,0.369318584,0.016362122,0.005560182,0.000783814,0.000269436,3.11,11215.21084,0.199480596,0.304243434,93.13
"VILA CURUCA",17.23333338,885.0291327,1.281504242,2.3440747,0.584799632,149053,0.29519701,0.479051076,0.437944892,0.005105091,0.004530194,0.000574898,0.000597894,3.42,14348.07998,0.280126023,0.380047834,93.8
"VILA GUILHERME",18.1666673,636.1378529,8.472821839,3.3406669,0.008346438,94799,0.063291807,0.778499773,0.161942637,0.001381034,0.000361699,0.000427463,0.000197291,3.11,11993.88073,0.136037637,0.543130675,97.04
"VILA FORMOSA",18.47999954,883.0441534,8.165748574,3.314442133,0.192235952,94799,0.063291807,0.778499773,0.161942637,0.001381034,0.000361699,0.000427463,0.000197291,3.11,11559.19673,0.136037637,0.543130675,97.04
"VILA JACUI",17.33333365,974.2356105,2.566200763,1.283331133,0.457054889,142372,0.323097238,0.500723457,0.410403731,0.008257718,0.002112439,0.00014403,0.00043209,3.42,15801.30694,0.279102721,0.389821553,93.19
"VILA LEOPOLDINA",16.35714258,397.8434725,5.541305019,3.551335833,0.364440568,39485,0.151956439,0.813574775,0.119539065,0.002134079,0.00139819,0,0.000220767,2.79,5143.696631,0.070247934,0.387101535,97.88
"VILA MARIA",17.50999985,676.7775003,2.84837495,3.310605233,0.029586238,113463,0.185082362,0.643751708,0.292756229,0.002099767,0.003745531,0.000425629,0.000624255,3.19,8796.014378,0.191352764,0.502755525,94.75
"VILA MARIANA",18.0999999,782.0362562,2.374491674,4.1423826,0.087276444,130484,0.030655099,0.815195733,0.069234542,0.000501717,0.001968276,0.000270156,0.000135078,2.49,13951.76632,0.056971012,0.375981069,98.5
"VILA MATILDE",18.08571407,911.9958766,1.457661024,3.284072633,0.003432045,104947,0.11434343,0.713074218,0.186465549,0.00483712,0.000298588,0.000209011,0.000179153,3.12,10751.65483,0.125414315,0.580608558,96.99
"VILA MEDEIROS",18.27142852,1195.29725,1.763390783,2.9822227,0.029054353,129919,0.10775945,0.645132737,0.271723151,0.004235058,0.001002381,0.000150357,0.000250595,3.25,15015.64721,0.173337678,0.526178601,95.62
"VILA PRUDENTE",17.29999995,763.871854,3.712074767,2.906296667,0.051504102,104242,0.163082059,0.786583143,0.157115174,0.002218573,0.000518627,0.000115251,5.76e-05,2.98,9941.014957,0.130240599,0.573778994,96.7
"VILA SONIA",17.36666648,594.9496313,5.054023051,3.0766684,4.056543231,108441,0.165988879,0.670355308,0.232928505,0.035489642,0.010531479,0.000981014,0.00017312,3.12,9831.900788,0.123632164,0.458697849,96.02
"SAO DOMINGOS",17.47500038,488.1005206,12.70402204,2.310830867,3.280750043,84843,0.117864762,0.668917884,0.268177693,0.008077544,0.003343728,0.00030056,0.00033813,3.18,7640.574256,0.17628711,0.507027433,95.33
"LAJEADO",16.72857176,844.1837283,1.120027445,2.152854467,0.391520953,164512,0.352557868,0.432673604,0.47214185,0.007352153,0.011553383,0.0028294,0.001221786,3.53,16813.35999,0.329359804,0.307212384,92.32
"SUZANO",16.48235308,174.4805594,17.02368655,-0.711228533,37.78790472,155804,0.160458011,0.569959693,0.320678545,0.008885156,0.045641411,0.007956856,0.000508355,3.43,1452.643426,0.225967596,0.4404854,94.48
"BOA VISTA PAULISTA",16.64444431,310.8444416,1.406511152,-0.4400638,15.15681154,82811,0.229438118,0.435980727,0.472195723,0.022711299,0.041249341,0.007204358,0.000790722,3.63,3375.470634,0.369063832,0.277467821,91.57
"PALMEIRAS DE SAO PAULO",16.10540551,51.31331712,8.61517894,-1.586811667,44.59863358,23865,0.209511837,0.532830505,0.386297926,0.054322084,0.409117821,0.0553582,0.001776199,3.52,256.8356361,0.387359384,0.273090586,90.36
"TABOAO DA SERRA",17.6058822,633.0331866,9.099078823,2.222339267,8.585606028,244528,0.147222404,0.493763495,0.399745632,0.014492353,0.003733717,0.000553143,0.000484,3.38,10945.71765,0.212657037,0.464483369,94.07
"VARGEM GRANDE PAULISTA",16.35128214,132.2580414,2.56167977,-2.274880367,31.75703325,42997,0.162802056,0.597088169,0.336046701,0.002950323,0.125907025,0.005262738,0.000956861,3.41,927.6833612,0.201594896,0.446331738,95
