"","contair","Intrsc","ppub","islcal","cobarb","pop10","morta","pbranc","pparda","noenrg","noagpt","norrss","nosane","hphog","dnspop","ppoprl","ppopmd","alfa"
"QUATINGA",16.07471272,6.067992588,54.89142328,-1.3338889,66.00078809,3672,0,0.56835512,0.319444444,0.165354331,0.623031496,0.229330709,0.002952756,3.61,33.25622207,0.396653543,0.246062992,90.29
"SABAUNA",14.48382348,23.05601698,30.44330614,-0.867321733,57.47868889,14511,0.344566191,0.648060092,0.267245538,0.004364694,0.197866149,0.03443259,0.001697381,3.51,170.3492171,0.25557711,0.393549952,94
"TAIACUPEBA",15.57285713,9.469040279,59.59370672,-0.690000267,69.43413895,5179,0,0.687391388,0.242904036,0.011789182,0.421636616,0.095006935,0.004160888,3.52,60.39428523,0.3259362,0.296809986,88.1
"OSASCO",17.30357136,588.0409524,3.418575637,2.753949867,5.901472284,666740,0.221975583,0.587357891,0.340084591,0.013086075,0.008841273,0.007097784,0.000396248,3.3,9460.245743,0.206056342,0.474202083,94.55
"PIRAPORA DO BOM JESUS",16.01041667,21.11273731,2.9749168,-0.191392533,62.41608383,15733,0.190682006,0.467870082,0.463166593,0.029881387,0.077782847,0.029425182,0.00205292,3.58,132.4428613,0.339644161,0.309078467,92.66
"POA",16.48235287,474.7377622,6.761285469,-0.9719043,10.17637475,100546,0.159131144,0.545789987,0.370914805,0.005627093,0.011392274,0.004384299,0.000828529,3.46,5352.431379,0.24032453,0.431520801,95.46
"CIDADE KEMEL",17.43868482,921.3383538,2.16553064,0.304919067,0.341365462,5467,0.182915676,0.489299433,0.453996708,0.003119152,0.003119152,0,0,3.39,11499.90132,0.281971304,0.363069245,93.62
"RIBEIRAO PIRES",16.38409105,129.8698658,0.901528086,-0.119130833,50.92098034,77986,0.115405329,0.643692458,0.289885364,0.010050251,0.036325696,0.003023593,0.000340686,3.31,1357.644953,0.180078425,0.517261956,95.82
"JARDIM SANTA LUZIA",15.99565224,85.80861273,12.79878691,-0.164667067,64.73547746,21898,0.045666271,0.615809663,0.321444881,0.008498146,0.056396786,0.011124845,0.000309023,3.38,784.2391492,0.188997064,0.488023489,94.98
"OURO FINO PAULISTA",15.93500004,80.13277071,0.53630187,0.007193833,63.19181296,13184,0.075849515,0.634860437,0.300212379,0.019280206,0.107197943,0.004884319,0.001028278,3.38,557.7985475,0.29562982,0.372236504,94.76
"RIO GRANDE DA SERRA",16.06250009,82.69223042,13.39597207,-0.802042167,69.31586612,43974,0.181925683,0.47118752,0.43948697,0.017208703,0.047532408,0.013115003,0.001591995,3.32,1097.919124,0.267909939,0.383822303,92.99
"SALESOPOLIS",13.13926381,6.617912648,0.283230189,-0.480657467,81.33569945,12479,0,0.814007533,0.165638272,0.004568664,0.326256383,0.038699274,0.00107498,3.34,31.30588777,0.286482128,0.337812416,90.62
"NOSSA SENHORA DO REMEDIO",15.25686277,7.742997539,3.211486869,-0.683719767,42.9238453,3156,0,0.765842839,0.195183777,0.004171011,0.546402503,0.016684046,0.002085506,3.28,48.10413432,0.240875912,0.350364964,88.59
"SANTA ISABEL",14.23625,21.4414008,0.385096315,-1.3345106,46.75248325,50453,0.138742989,0.700473708,0.250550017,0.003921825,0.280149029,0.03921825,0.001241911,3.28,126.969835,0.273274059,0.37271182,91.78
"SANTANA DE PARNAIBA",16.23619635,79.64562346,1.826610832,0.034177367,46.8663301,108813,0.165421411,0.59555384,0.344912832,0.028092376,0.091173679,0.005251503,0.000632711,3.44,552.4272836,0.214335443,0.340632911,94.09
"SANTO ANDRE",17.18550722,486.0158944,2.59355296,1.7187621,21.30090057,574976,0.123483415,0.715772484,0.228246049,0.008483275,0.025096808,0.000597414,0.00036931,3.11,6509.98171,0.136966135,0.553731489,96.06
"CAPUAVA",16.77777799,566.0244183,4.237429102,2.121667667,0.734136101,98335,0.12203183,0.698977983,0.24451111,0.001697239,0.000783341,0.00248058,0.000261114,3.21,8154.11825,0.133442141,0.585506773,95.92
